number,text,R,G,B
1,ナレーション：ようこそ！ショータイムの「グレートナイフギブアウェイショー」！,255,255,255
2,スティーブ：こんにちは！この番組の司会を務めるスティーブ・ブライアントです！,255,255,255
3,皆さん、今日は「お買い得商品の大御所」と呼ばれる人を紹介します！大きな拍手でお迎えしましょう！,255,255,255
4,（歓声）,255,255,255
5,スティーブ：こんにちはロン！,255,255,255
6,ロン：やあ、握手したいけど手が塞がってて…,255,255,255
7,スティーブ：これはどうしたんだ？,255,255,255
8,ロン：私の包丁なんだ、うちにこんな引き出しがあってね。みんなもこういう引き出し持ってるよね？,255,255,255
9,＼ｲｪｱ／,255,255,255
10,ロン：この包丁をあるべき所にしまおうか！,255,255,255
11,スティーブ：OK。,255,255,255
12,ロン：ここだ、ほら,255,255,255
13,スティーブ：アッハハハ…,255,255,255
14,ロン：これでおしまいオーケー！,255,255,255
15,スティーブ：問題解決！それでロン、今日紹介してくれる商品は何かな？,255,255,255
16,ロン：実は最高のナイフを発明したんだよ。その前にちょっと紹介させてくれ、,255,255,255
17,娘のシャノン、ローレン。それにいとこのアーノルド。彼がぼくのナイフを紹介したがってるんだ。,255,255,255
18,アーノルド：こんなナイフを持ってる方何人くらいいます？買ったときはいいナイフだったでしょう、,255,255,255
19,6か月後には切れなくなるだろうけどね！,255,255,255
20,アーノルド：トマトを切ってみたことはある？突っついたりしてグチャグチャ切っている間に,255,255,255
21,ああ大変、ぼくの大好きなトマトがかわいそうに…,255,255,255
22,（笑い声）,255,255,255
23,アーノルド：そこで皆さんよく聞いて、いとこのロンが信じられないようなナイフを考え付いたからね。,255,255,255
24,ぼくも手にするのは初めてだ。,255,255,255
25,アーノルド：大切なのはどうやって作られたかってことと、素材は何かってこと。まず説明させて、,255,255,255
26,名前はショータイム・ナイフ。高品質なステンレスからできてるフルタング構造だ。,255,255,255
27,つまり、刃の部分がここから端まで繋がって、一枚のステンレスでできてる。,255,255,255
28,アーノルド：このナイフの切れ味を見てもらおう。こんなシャープな切れ味見たことある？,255,255,255
29,（拍手）,255,255,255
30,アーノルド：それからもう一つトマトをスライスするとき、切ろうとしなくていい！,255,255,255
31,ナイフの重みだけで切れちゃう！切ろうとしないでやさしくね。ほら、このナイフだとあっという間。,255,255,255
32,どうすごいだろう…。ハンバーガー食べに出掛けたくなるよね！この薄さどうだい…,255,255,255
33,アーノルド：切れ味がシャープなことはもうわかったよね？,255,255,255
34,＼ｲｪｱ／,255,255,255
35,アーノルド：OK、次はその切れ味がどれだけ持つか見せるよ。これはコチコチの冷凍食品だ。,255,255,255
36,見てこれ…まるでここに何もないみたいに切れちゃう！,255,255,255
37,アーノルド：以前はスチール缶を切ってみせたんだけど、最近はアルミで作るようになったからねぇ。,255,255,255
38,アルミより硬いものを探さなくちゃいけなくなった。ものすごく切りづらいものをね！,255,255,255
39,だからこのカナヅチを持ってきたんだ…これを切ることにするよ。,255,255,255
40,アーノルド：骨付きハム、鳥の骨、冷凍食品も七面鳥をさばくときも、なんにでも使える！使い方は自由。,255,255,255
41,これ、ノコギリの宣伝じゃないよ？ノコギリならいつでも買えるからね！,255,255,255
42,アーノルド：切れ味が落ちない、すり減らないナイフがほしい？それじゃこれを見て。,255,255,255
43,カナヅチから出たこの削りクズ見える？どこから出たのかわかるよね？,255,255,255
44,このクズがナイフじゃなくて、ハンマーから出ててしかもナイフがまだシャープなら、凄いナイフだよね！,255,255,255
45,（歓声）,255,255,255
46,アーノルド：ナイフの切れ味を確かめてみようか！OK！ほら、どう全然変わらない！,255,255,255
47,今日！明日！来週！来年！再来年も！研がなくていい！このナイフの切れ味はそのまま！,255,255,255
48,アーノルド：このすばらしいナイフいくらぐらいすると思います？,255,255,255
49,デパートに行ってこんなナイフを買ったら、一万円以上するんじゃないですか？,255,255,255
50,このナイフはその価値あるでしょう！,255,255,255
51,（歓声）,255,255,255
52,アーノルド：よぉーし！このすばらしいナイフを、たった3300円の3回払いで！手に入るってのはどう！？,255,255,255
53,お気に召したかな？,255,255,255
54,（拍手）,255,255,255
55,シャノン：ねえ、アーノルドさん！父がスポーツマンナイフをおすすめしたいって。,255,255,255
56,アーノルド：そうだろう…これはぼくも大好きなスポーツマンナイフ。見てこのしなやかさ！,255,255,255
57,こちらも同じ刃、エッジハンドルで切れ味は落ちない。,255,255,255
58,アーノルド：このナイフは、魚をおろすときに骨ごと切れるんだ。ほら、今見せるからね。,255,255,255
