number,text,R,G,B
1,わすれもの、わすれもの,255,139,255
2,あれ、童貞ちんぽこ先生まだいたんだ,255,139,255
3,ん、なんだこの匂いは？　んん〜？　これは……,255,139,255
4,精子,255,139,255
5,精液,255,139,255
6,ザーメン,255,139,255
7,ザー汁,255,139,255
8,キンタマ汁,255,139,255
9,赤ちゃん製造ミルク,255,139,255
10,さては、ちんぽこしこってたな？,255,139,255
11,一人でオナニーかわいそう　ちんぽこかわいそう,255,139,255
12,わたしがおまんこしてやろうか？,255,139,255
13,おまんこだよ,255,139,255
14,おまんこなかだしオーケーだし,255,139,255
15,本当だよ？　コンドームなんかしなくていいんだよ？,255,139,255
16,生ちんぽこ、おまんこにぶっさせるんだよ？,255,139,255
17,からかってないよ、ほんとうにほんと,255,139,255
18,じゃあ、今から服脱ぎます！,255,139,255
19,End(escapeキーを押すと初めに戻ります),255,255,255
