number,text,R,G,B
1,くぅ～疲れましたw これにて完結です！,255,255,255
2,実は、ネタレスしたら代行の話を持ちかけられたのが始まりでした,255,255,255
3,本当は話のネタなかったのですが←,255,255,255
4,ご厚意を無駄にするわけには行かないので流行りのネタで挑んでみた所存ですw,255,255,255
5,以下、まどか達のみんなへのメッセジをどぞ,255,255,255
6,まどか「みんな、見てくれてありがとう,255,173,212
7,ちょっと腹黒なところも見えちゃったけど・・・気にしないでね！」,255,173,212
8,さやか「いやーありがと！,141,212,255
9,私のかわいさは二十分に伝わったかな？」,141,212,255
10,マミ「見てくれたのは嬉しいけどちょっと恥ずかしいわね・・・」,255,255,124
11,京子「見てくれありがとな！,234,25,86
12,正直、作中で言った私の気持ちは本当だよ！」,234,25,86
13,ほむら「・・・ありがと」ﾌｧｻ,159,159,159
14,では、,159,159,159
15,まどか、さやか、マミ、京子、ほむら、俺「皆さんありがとうございました！」,255,255,255
16,終,255,255,255
17,まどか、さやか、マミ、京子、ほむら「って、なんで俺くんが！？,255,255,255
18,改めまして、ありがとうございました！」,255,255,255
19,本当の本当に終わり,255,255,255
20,End(escapeキーを押すと初めに戻ります),255,255,255
