number,text,R,G,B
1,ナレーション：さてぇ、シェフ・トニーが世界的に有名な、フランスの料理学校を訪れました。,255,255,255
2,「フランス人はシビアな観客」、と言われますが、フランス料理学校の生徒たちはミラクルブレードⅢをどう評価するでしょう？,255,255,255
3,彼らの評価が良かったら、あなたは製品の品質に、きっと納得するでしょう。さあご覧ください。,255,255,255
4,トニー：瞬きしたり、後ろ向いたりしないでね。どう？　君たちも納得すると思うけれど、これは特別なナイフなんだ。,255,255,255
5,これは、ミラクルブレードⅢ・パーフェクション・シリーズの一本。違いに気付くだろう？　ほら、持ち手が曲がっているでしょう。,255,255,255
6,まな板や刃先に手が当たらなくてとっても使いやすいんだ。この刃、熱処理済みステンレスより硬いッ。だから切れ味が長持ち。,255,255,255
7,このシャープなおろしたての切れ味が続くよぅ。スリーインワンエッジだから、ほらね、ナイフが切っているんだよ、シェフ・トニーじゃなくて。,255,255,255
8,切り分けるなら、きっと好きになること請け合い。,255,255,255
9,ホリデーシーズンにはローストビーフ、ターキー、チキンやポットロースト、毎回ナイフを引けば見事なスライスの出来上がりさぁ。,255,255,255
10,刃先のフォークが見えるかなぁ？　便利なお供だ、ちょいと持ち上げお皿に乗っける。できなきゃ内緒で自分の指を使ってね。,255,255,255
11,さあて君たち、魚は捌くかなぁ？　これ見てて。ナイフを手にして、皮と身の間に入れて引く。身が皮からするりと剥がれるよぉ。,255,255,255
12,見て、これ見てよぉ！　皮に残った身まで取れちゃうんだぁ！,255,255,255
13,だから僕が、シャープなナイフと呼ぶわけさ。そうだろう？,255,255,255
14,冷凍品を扱うことあるでしょぉ。これならうってつけ。冷凍のサーモンやニジマス、スズキも切れるよぉ。,255,255,255
15,知ってるかい？　たくさんの人がナイフを酷使していること。いままな板を切っているでしょ。こうするとナイフの切れ味は落ちるんだよ。,255,255,255
16,でも、ミラクルブレードは例外。君たちがぁ、ナイフで固い岩なんて切らないことは……よーく分かっている。,255,255,255
17,でも、チキンの骨や骨付きハム、スペアリブ、冷凍野菜なら切るだろう？　このナイフならぁ、クリスマスツリーだって切れちゃうよぉ。,255,255,255
18,僕は今、ミラクルブレードをとんでもない勢いで痛めつけているんだよ。普通ならボロボロだよ？,255,255,255
19,以前のＣＭなら、アルミ缶を切っていた。見て、ミラクルブレードⅢならまるでバターを切っているみたいだろう。,255,255,255
20,でもそれじゃつまらない。今回は、金属の塊、ハンマーの出番だよ。,255,255,255
21,何も君たちにメタルを切れなんて言わないよぉ。,255,255,255
22,第一このナイフは、君ん家のトラックのマフラーを切るようには作ってないんだから。でも、この切れ味は納得だろう。,255,255,255
23,僕は今、ミラクルブレードをとんでもない勢いで痛めつけているんだよ。僕が冗談ばかり言ってると思うなら、紙の上の切りカスは嘘をつかない。,255,255,255
24,こんなにスチールを削ったら、刃が毀れてピーナッツバターを切ることもできない。,255,255,255
25,でも、どうだい。プロの眼で判断して。刃元で、真ん中で、切っ先で、使うたびにこの切れ味さぁ。,255,255,255
26,さぁて、ハンマーを切ったナイフで、真っ赤に熟したトマトをカァット。まるで新品みたいな切れ味じゃないかぁ。,255,255,255
27,想像してみてぇ、先のことを。僕たちは、ミラクルブレードを長く使っていただけることに自信を持っているんだ。,255,255,255
28,ちょっと待って！　ウチのママのお気に入り、焼き立てパン。君たちも大好きだろぉ。,255,255,255
29,柔らかくって、ほぅらぁ、薄くも厚くもお好みのスライスができちゃうよぉ。おまけに切り下ろした時に手がまな板に当たらない。一回で見事なスライスの出来上がりぃ。,255,255,255
30,買わないなら、僕のこと覚えていてね。家に帰って古いナイフを使ったときに思い出すよ。,255,255,255
31,こうやってパンスティックを家族のために作り続けるってことをねッ！,255,255,255
32,何人がこんな失敗してきたぁッッ！？,255,255,255
33,こんなのにバター付けられる？,255,255,255
34,人様に出せないよ確かにッ！,255,255,255
35,ミラクルブレード・パーフェクション・シリーズの話をしているけど、これがオールパーパススライサーさ。たった一つできないのは細切りだけ。,255,255,255
36,そこでチョッピングナイフ。百年以上もデザインの変わらないやつさ。これはウチのロックンチョップ。同じステンレススチールに、同じカーブハンドル。,255,255,255
37,これで細切りをしたら、たーのしいの何のって♪,255,255,255
38,ナイフの重さは、切れに影響すると言われている。そこで、アキューグリップコントロールボール。ナイフを手にピタリと合わせるんだぁ。,255,255,255
39,これなら手も疲れなくて、毎回思い通りの出来上がりだよぉ。見てぇ、刃を前後に動かすと見事なミンチに、まさに素晴らしいの一言ッ。,255,255,255
40,ジャガイモみたいに固い物でもぉ、ほぉら、スパッと二つに。元に戻してササっと切れば支度もバァッチリ。素早く、シンプル、簡単、安全。,255,255,255
41,ナイフのここ見てぇ。クイックリリースエアレーター。切った物を素早く離すから、チーズを切るときにも便利。,255,255,255
42,まだ、終わってないよぉ。これがぁ、フィレ用ナイフさぁ。このデザインを見てよ。刃がしなやかだろう。,255,255,255
43,ほらどうだい？　ポークチョップの下ごしらえをしたいなら、君のすることは一つ、このナイフを使うこと。こんなに素早く支度ができるよぉ。,255,255,255
44,もぉし君が魚料理をするなら、高いお金を費やす必要はないよぉ。こんな風に、刃がしなやかに身を離してくよ。切り身もね、シャープでしょぉ？　気に入ると思うよぉ。,255,255,255
45,さてぇ、これはチョップンスクープ。非常に薄い刃で、アキューグリップ付きだよ。面倒な仕事にはおあつらえ向き。パセリ、ニンニク、タマネギ、バジル、ショウガにはこれ。,255,255,255
46,刻み用にデザインされていて、綺麗な仕上がりさ。それだけじゃない。しかも、刻んだ物を刃ですくえるからぁ、料理に加えるのも簡単さぁ。,255,255,255
47,僕は、ナイフの販売を二十年以上もしているんだけど、ミラクルブレード・パーフェクション・シリーズみたいな製品には出会ったことがないッ。,255,255,255
48,ちょっと待っててぇ、七本のナイフが登場するからねえ！,255,255,255
49,トム：やあトニー。,255,255,255
50,トニー：やあトム。,255,255,255
51,トム：今日は何を見せてくれるの？,255,255,255
52,トニー：よく聞いてくれたねぇ。まずはこの新改良のミラクルブレードⅢ・スライサー。このナイフなら、冷凍食品、ケーキ、ハム、肉を切れるよぉ。,255,255,255
53,これはぁ、細切りのためのロックンチョップだね。そして、これがフィレナイフ。肉料理なんかにいいねぇ。,255,255,255
54,それからぁ、これがママのお気に入り、チョップンスクープさぁ。別々にこのナイフを買ったらぁ、結構するねぇ。,255,255,255
55,トム：確かに。,255,255,255
56,トニー：でも、その価値はあるよぉ。このナイフが発売されてから、ミラクルブレードといえば信頼のブランドになったんだよ。,255,255,255
57,番組をご覧の皆さんにも、新たに注文する利点を感じてほしいんだ。,255,255,255
58,だから値段は9800円。,255,255,255
59,トム：そりゃ驚きだぁ。おや、笑ってるねぇ？　まだあるんじゃないの？,255,255,255
